10.1103/PhysRevA.26.1962 10.1103/PhysRevA.26.1962 1.000
10.1103/PhysRev.78.494 10.1103/PhysRev.78.494 1.000
10.1103/PhysRev.140.B200 10.1103/PhysRev.140.B200 1.000
10.1103/PhysRev.126.220 10.1103/PhysRev.126.220 1.000
10.1103/PhysRevD.70.075008 10.1103/PhysRevD.70.055010 0.966
10.1103/PhysRevD.46.658 10.1103/PhysRevD.46.675 0.960
10.1103/PhysRevLett.83.187 10.1103/PhysRevLett.82.4308 0.958
10.1103/PhysRevD.59.055016 10.1103/PhysRevLett.80.4641 0.958
10.1103/PhysRevD.53.5125 10.1103/PhysRevD.51.2338 0.957
10.1103/PhysRevLett.87.201805 10.1103/PhysRevLett.87.201804 0.955
10.1103/PhysRevLett.50.620 10.1103/PhysRevLett.50.616 0.955
10.1103/PhysRevD.77.065008 10.1103/PhysRevD.75.045020 0.955
10.1103/PhysRevD.61.023519 10.1103/PhysRevD.61.023505 0.952
10.1103/PhysRevD.73.063519 10.1103/PhysRevD.73.063520 0.950
10.1103/PhysRev.72.881 10.1103/PhysRev.72.881 0.950
10.1103/PhysRevD.59.043516 10.1103/PhysRevD.59.043515 0.935
10.1103/PhysRevD.54.5585 10.1103/PhysRevD.52.6224 0.935
10.1103/PhysRevD.52.1920 10.1103/PhysRevD.49.2978 0.935
10.1103/PhysRevD.62.024027 10.1103/PhysRevD.59.064025 0.931
10.1103/PhysRevB.58.6855 10.1103/PhysRevB.57.14352 0.931
10.1103/PhysRevB.43.10948 10.1103/PhysRevB.43.10963 0.931
10.1103/PhysRevD.53.3421 10.1103/PhysRevLett.76.1417 0.923
10.1103/PhysRevD.60.123504 10.1103/PhysRevLett.83.1502 0.920
10.1103/PhysRevD.67.054005 10.1103/PhysRevD.67.054004 0.920
10.1103/PhysRevLett.87.217003 10.1103/PhysRevB.64.014504 0.920
10.1103/PhysRevLett.80.4341 10.1103/PhysRevLett.80.4345 0.917
10.1103/PhysRevB.69.224415 10.1103/PhysRevB.69.224416 0.917
10.1103/PhysRev.159.853 10.1103/PhysRev.153.1091 0.917
10.1103/PhysRevLett.99.142002 10.1103/PhysRevLett.98.212001 0.913
10.1103/PhysRevLett.84.1398 10.1103/PhysRevLett.82.2221 0.913
10.1103/PhysRevLett.75.3382 10.1103/PhysRevLett.75.3390 0.913
10.1103/PhysRevB.48.2500 10.1103/PhysRevB.45.11837 0.913
10.1103/PhysRevLett.89.183601 10.1103/PhysRevLett.89.163602 0.909
10.1103/PhysRevD.74.105014 10.1103/PhysRevD.73.023004 0.909
10.1103/PhysRevB.53.6401 10.1103/PhysRevB.53.6393 0.909
10.1103/PhysRevA.36.2519 10.1103/PhysRevA.36.2539 0.909
10.1103/PhysRevLett.86.4199 10.1103/PhysRevLett.86.4203 0.905
10.1103/PhysRevLett.52.1380 10.1103/PhysRevLett.50.2058 0.905
10.1103/PhysRevLett.32.562 10.1103/PhysRevLett.32.560 0.905
10.1103/PhysRevA.11.1025 10.1103/PhysRevLett.32.277 0.905
10.1103/PhysRevD.71.015004 10.1103/PhysRevD.70.115007 0.905
10.1103/PhysRevD.58.066006 10.1103/PhysRevD.58.066004 0.905
10.1103/PhysRevD.19.3698 10.1103/PhysRevD.19.3715 0.905
10.1103/PhysRevC.62.024001 10.1103/PhysRevC.61.014003 0.905
10.1103/PhysRevLett.76.3132 10.1103/PhysRevB.50.11275 0.905
10.1103/PhysRevLett.98.211803 10.1103/PhysRevLett.98.211802 0.903
10.1103/PhysRevD.65.073034 10.1103/PhysRevLett.88.071803 0.903
10.1103/PhysRevD.68.034014 10.1103/PhysRevD.65.054031 0.903
10.1103/PhysRevD.60.023516 10.1103/PhysRevD.60.023515 0.903
